ts_id,timestamp,req_timestamp,ts_value,station_local_x,station_local_y,station_id,site_name,station_name,station_no,ts_name,ts_shortname,site_no,stationparameter_name,stationparameter_no,ts_unitsymbol,parametertype_name,object_type_shortname,ts_path,river_name,station_diary,ADMINISTRATEUR,CATCHMENT_SIZE,ISIN_COMMUNE,station_gauge_datum,station_gauge_datum_unit,station_status_remark,station_gauge_datum_postfix,SITE_NUMBER_SQL,AD_WITH_THRESHOLD,RESEAUX,ngr_letter,BASSIN_INFOCRUE_NO,DISTHYDRO,admin_level,COD_HYDROGRAPHE,river_code,STATION_NUMBER_SQL,region_district,STATEL,station_gauge_datum_from,WTO_OBJECT,station_status,river_key,station_diary_status,PAYS,GAUGE_DATUM,REGION,BASSIN_INFOCRUE,TYPE_STATION,BASSIN_GESTION_TEXT,PROVINCE,river_id,ObjectDescription,admin_name,BV_DCE,BASSIN_GESTION_WEB,CATEGORIE_COURS_DEAU,STA_PUBINT,hydrounit_name,CODE_POSTAL,hydrounit_title,STABILITE_JAUGE,hydrounit_no,ISIN_LOCALITE,COMMUNE_LOCALITE,ADRESSE,NIVCRU,CENEXT_DCENN,CARTE_IGN,station_elevation,RIVER_SECTION_VNAV_STATION,river_longname
176293010,2026-06-05T10:20:00.000+02:00,,0.246,144080.0,114089.0,15255,Direction des Cours d'Eau Non Navigables,Thuin,L6630,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L6630/H/Cmd.Rel.Abs.Comp-Alarmes,Bieme l'Eau,,DCENN,"85,89 km²",,117.537,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,9,District de la Meuse,District,,357250,L6630,---,yes,1659571200000,Bieme l'Eau,Active,357250,1996-08-14 00:00:00: Active,Belgique,117.537,WALLONIE,Affluents de la Haute Sambre / 9,Limnimètre,Haute Sambre (affluents),HAINAUT,1450283,,---,Sambre / SA,Haute Sambre (affluents),Catégorie 1,yes,District de la Meuse,6530,MEUSE,Très stable,M,Thuin,Thuin,Avenue de Ragnies,t0/Normal,Centre Namur,52/2,,,
376615010,2026-06-05T10:00:00.000+02:00,,275.027,242584.0,93290.0,12155,Direction de la Gestion hydrologique,NISRAMONT (LAC) Amt,5997,05a-Hauteur absolue.Complet.Alarmes,Cmd.Abs.Comp-Alarmes,DGH,Hauteur sonde,Habs_sonde,m,H,GN_STATION,DGH/5997/Habs_sonde/Cmd.Abs.Comp-Alarmes,Ourthe supérieure,2015-05-21 00:00:00: mise en place d'un tube permettant de prendre un valeur de sonde,DGH,,La Roche-en-Ardenne,0.0,DNG,<date_1ere_data><sonde=>,DNG,DGH,no,Direction de la Gestion hydrologique,-,45,District de la Meuse,District,Smiejkowski M.,,5997,---,yes,1360713600000,Ourthe supérieure,Active,,2013-02-13 00:00:00: Active,Belgique,0.0,WALLONIE,Ourthe supérieure et affluents / 45,Limnimètre,Ourthe supérieure,LUXEMBOURG,5681867,"<ACCES>
Se situe sur le lac du barrage, en rive gauche, environ 480m en amont du barrage. 
Se garer sur l'esplanade réservée aux kayaks et emprunter le chemin sur le barrage et poursuivre jusqu’à la station. 
</ACCES>



",---,Ourthe / OU,Ourthe supérieure,Navigable,,,,,,,,,,,,,,,
196868010,2026-06-05T10:00:00.000+02:00,,0.388,199601.0,114232.0,16085,Direction des Cours d'Eau Non Navigables,Natoye,L8220,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L8220/H/Cmd.Rel.Abs.Comp-Alarmes,Bocq,,DCENN,"17,41 km²",,189.86,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,28,District de la Meuse,District,,421200,L8220,---,yes,1457568000000,Bocq,Active,421200,2016-03-10 00:00:00: Active,Belgique,189.86,WALLONIE,Affluents de la Haute Meuse / 28,Limnimètre,Bocq,NAMUR,1450293,,---,Meuse amont / MM,Bocq,Catégorie 2,yes,District de la Meuse,5360,MEUSE,Instable,M,Natoye,Hamois,Rue de Spontin,t0/Normal,Centre Namur,,,,
354633010,2026-06-05T10:35:00.000+02:00,,78.572,185587.0,127947.0,5714164,Direction de la Gestion hydrologique,NAMUR,8001,05a-Hauteur absolue.Complet.Alarmes,Cmd.Abs.Comp-Alarmes,DGH,Hauteur sonde,Habs_sonde,m,H,GN_STATION,DGH/8001/Habs_sonde/Cmd.Abs.Comp-Alarmes,Haute Meuse (aval Dinant),,DGH,,,0.0,---,<date_1ere_data>,,DGH,no,Direction de la Gestion hydrologique,-,50,District de la Meuse,District,Theys D.,,8001,---,yes,1619395200000,Haute Meuse (aval Dinant),Active,,2021-04-28 00:00:00: Active,,0.0,,Haute Meuse aval / 50,Limnimètre,Meuse moyenne (NA),,5681861,,---,Meuse amont / MM,"Haute Meuse (NA, aval Lesse)",Navigable,,,,,,,,,,,,,,,
249761010,2026-06-05T06:00:00.000+02:00,,0.111,154000.0,99564.0,12513,Direction de la Gestion hydrologique,SILENRIEUX (RY),7863,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/7863/H/Cmd.Rel.Abs.Comp-Alarmes,Ry Jaune,"1997-10-09 00:00:00: FP remplacé par PC2000.<br>2022-07-26 00:00:00: <echX=0.2 cm/h><echY=1/5><zeroFeuille=-0.2><limni=OTT X> 
Pour éviter des hauteurs négatives, Thalimedes et feuille augmentés de 20cm, télémesure (B) diminuée de 20cm.
Soustraire 20cm de la valeur lue lors des contrôles.",DGH,"7,38 km²",Cerfontaine,210.5,---,<date_1ere_data><echX=0.2 cm/h><echY=1/5><limni=OTT X>,,DGH,no,Direction de la Gestion hydrologique,-,10,District de la Meuse,District,Lefèvre C.,,7863,---,yes,1285632000000,Ry Jaune,Active,,1981-01-01 00:00:00: Active,Belgique,210.5,WALLONIE,Eau d'heure et affluents / 10,Limnimètre,Eau d'heure,NAMUR,1450635,"ATTENTION : soustraire 20 cm à la hauteur lue lors du contrôle.


<ACCES>
RIVE DROITE - EN AMONT LAC DU PRE-BARRAGE DU RY JAUNE PERTUIS A DEVERSOIR TRIANGULAIRE.
Accès : N978 venant de Silenrieux vers Cerfontaine, à gauche après le pont sur le pré-barrage, 1km environ puis à droite et au bout du petit chemin. 
</ACCES>",---,Sambre / SA,Eau d'heure,Catégorie 2,,,,,,,,,,,,,,,
202154010,2026-06-05T10:00:00.000+02:00,,0.08,176992.0,103682.0,1964147,Direction des Cours d'Eau Non Navigables,Anthée,L8640,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L8640/H/Cmd.Rel.Abs.Comp-Alarmes,Flavion,,DCENN,"0,00 km²",,221.641,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la Province de Namur,-,28,District de la Meuse,District,,401300,L8640,---,yes,1592265600000,Flavion,Active,401300,2020-06-16 00:00:00: Active,Belgique,221.641,WALLONIE,Affluents de la Haute Meuse / 28,Limnimètre,Molignée,NAMUR,2621470,,---,Meuse amont / MM,Molignée,Catégorie 2,yes,District de la Meuse,5520,MEUSE,t0/?,M,Anthée,Onhaye,Route de Denée/rue d'Anthée (N951),,,,,,
187956010,2026-06-05T10:20:00.000+02:00,,0.153,216892.0,150178.0,15685,Direction des Cours d'Eau Non Navigables,Limont,L7500,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L7500/H/Cmd.Rel.Abs.Comp-Alarmes,Yerne,,DCENN,"28,14 km²",,135.34,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,37,District de la Meuse,District,,711401,L7500,---,yes,1293840000000,Yerne,Active,711401,2011-03-15 00:00:00: Active,Belgique,135.34,WALLONIE,Geer et affluents / 37,Limnimètre,Geer,LIEGE,1450723,,---,Meuse aval / MA,Geer,Catégorie 2,yes,District de la Meuse,4357,MEUSE,Stable,M,Limont,Donceel,Rue de Liège,t0/Normal,Centre Liège,,,,
250209010,2026-06-05T10:35:00.000+02:00,,0.478,136203.0,109785.0,12535,Direction de la Gestion hydrologique,WIHERIES,7944,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/7944/H/Cmd.Rel.Abs.Comp-Alarmes,Hantes,2025-01-01 00:00:00: <Z_coffret_telem=3.536><bas_coffret_telem=0.2>,DGH,"142,34 km²",Erquelinnes,125.531,---,<date_1ere_data><echX=0.2 cm/h><echY=1/10><limni=OTT X>,,DGH,yes,Direction de la Gestion hydrologique,-,9,District de la Meuse,District,Lefèvre C.,355311,7944,---,yes,283996800000,Hantes,Active,355311,1979-01-01 00:00:00: Active,Belgique,125.531,WALLONIE,Affluents de la Haute Sambre / 9,Limnimètre,Haute Sambre (affluents),HAINAUT,1450399,"<ACCES>
RIVE DROITE - AU PONT D'ARCOLE Accès par ruelle (à pied) entre les n°15 et 17 de la rue de Wiheries (RG), ou par la prairie en RD.
</ACCES>

Il y a beaucoup de petits barrages en amont du limni qui perturbent celui-ci.",---,Sambre / SA,Haute Sambre (affluents),Catégorie 1,,,,,,,,,,,,,,,
177125010,2026-06-05T10:40:00.000+02:00,,0.265,233605.0,110274.0,15293,Direction des Cours d'Eau Non Navigables,Erezée,L6690,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L6690/H/Cmd.Rel.Abs.Comp-Alarmes,Aisne,,DCENN,"67,39 km²",,252.01,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,44,District de la Meuse,District,,632260,L6690,---,yes,914889600000,Aisne,Active,632260,1998-12-29 00:00:00: Active,Belgique,252.01,WALLONIE,Ourthe moyenne et affluents / 44,Limnimètre,Ourthe moyenne,LUXEMBOURG,1450261,,---,Ourthe / OU,Ourthe moyenne,Catégorie 1,yes,District de la Meuse,6997,MEUSE,Très stable,M,Erezée,Erezée,Rue du Val-d'Aisne (Moulin de Fizenne),t0/Normal,Centre Marche,55/1,,,
190280010,2026-06-05T10:00:00.000+02:00,,0.238,255524.0,122167.0,15795,Direction des Cours d'Eau Non Navigables,La Gleize,L7670,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L7670/H/Cmd.Rel.Abs.Comp-Alarmes,Amblève,,DCENN,"776,12 km²",,211.502,DNG,Mise en service,DNG,DCENN,yes,Station appartenant à la DCENN,-,41,District de la Meuse,District,,535120,L7670,---,yes,1657584000000,Amblève,Active,535120,2011-08-24 00:00:00: Active,Belgique,211.502,WALLONIE,Amblève et affluents / 41,Limnimètre,Amblève,LIEGE,1450265,,---,Amblève / AM,Amblève,Catégorie 1,yes,District de la Meuse,4987,MEUSE,Très stable,M,Stoumont,Stoumont,La Venne,t0/Normal,Centre Liège,49/7,,,
255092010,2026-06-05T10:30:00.000+02:00,,0.465,219066.0,44528.0,12757,Direction de la Gestion hydrologique,LACUISINE,9531,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/9531/H/Cmd.Rel.Abs.Comp-Alarmes,Moyenne Semois,2017-01-01 00:00:00: <fin_feuille_limni><br>2007-09-14 00:00:00: <echX=0.2 cm/h><echY=1/10><limni=OTT X>,DGH,,Florenville,295.624,DNG,<date_1ere_data><echX=0.291667 cm/h><echY=1/10><limni=RITTMEYER>,DNG,DGH,no,Direction de la Gestion hydrologique,-,14,District de la Meuse,District,Theys D.,,9531,---,yes,832636800000,Moyenne Semois,Active,,1974-01-01 00:00:00: Active,Belgique,295.624,WALLONIE,Moyenne Semois et affluents / 14,Limnimètre,Moyenne Semois,LUXEMBOURG,1450735,"Lors de fortes pluies, infiltration d'eau dans le puit : à corriger par comparaison avec chiny.

<ACCES>
limnigraphe au bout d'un chemin longeant le talus infrabel , à 100 m de la route.
</ACCES>",---,Semois-Chiers / SC,Moyenne Semois,Catégorie 1,,,,,,,,,,,,,,,
246629010,2026-06-05T10:30:00.000+02:00,,0.486,206601.0,139948.0,12384,Direction de la Gestion hydrologique,HUCCORGNE,7244,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DGH,Hauteur,H,m,H,GN_STATION,DGH/7244/H/Cmd.Rel.Abs.Comp-Alarmes,Mehaigne,2007-03-15 00:00:00: <echX=0.2 cm/h><echY=1/10><limni=OTT X><br>2002-11-27 00:00:00: Remplacement du fût limnigraphique.<br>1990-01-01 00:00:00: <echX=0.291667 cm/h><echY=1/5><limni=RITTMEYER>,DGH,"305,10 km²",Wanze,93.293,DNG,<date_1ere_data>,DNG,DGH,yes,Direction de la Gestion hydrologique,-,36,District de la Meuse,District,Smiejkowski M.,451230,7244,---,yes,1038355200000,Mehaigne,Active,451230,1974-01-01 00:00:00: Active,Belgique,93.293,WALLONIE,Mehaigne et affluents / 36,Limnimètre,Mehaigne,LIEGE,1450463,"


",---,Meuse aval / MA,Mehaigne,Catégorie 1,,,,,,,,,,,,,,,
365548010,2026-06-05T10:00:00.000+02:00,,-0.005,182992.0,135898.0,7101463,Direction des Cours d'Eau Non Navigables,La Bruyère,L9010,05a-Hauteur.Complet.Alarmes,Cmd.Rel.Abs.Comp-Alarmes,DCENN,Hauteur,H,m,H,GN_STATION,DCENN/L9010/H/Cmd.Rel.Abs.Comp-Alarmes,Ruisseau du Bois de Linfagne,,DCENN,,,162.651,DNG,,DNG,,no,Station appartenant à la Province de Namur,-,,,District,,444311,,---,yes,1655510400000,Ruisseau du Bois de Linfagne,Active,444311,2022-06-15 00:00:00: Active,,162.651,,,Limnimètre,,,7101470,,---,,,Catégorie 2,,,,,,,La Bruyère,,R. Pommelée Vache (à proximité de),,,,,,
