date,NDVI_6387_EUPEN,NDVI_6228_CHAUDFONTAINE,NDVI_5904_COMBLAIN,NDVI_5826_SAUHEID,NDVI_6732_STAVELOT,NDVI_6832_TROIS-PONTS,NDVI_7141_HUY,NDVI_7133_LIEGE,NDVI_6657_LOUVEIGNE,NDVI_6958_ROBERTVILLE,NDVI_6529_MONT-RIGI,NDVI_6387_EUPEN_anom,NDVI_6228_CHAUDFONTAINE_anom,NDVI_5904_COMBLAIN_anom,NDVI_5826_SAUHEID_anom,NDVI_6732_STAVELOT_anom,NDVI_6832_TROIS-PONTS_anom,NDVI_7141_HUY_anom,NDVI_7133_LIEGE_anom,NDVI_6657_LOUVEIGNE_anom,NDVI_6958_ROBERTVILLE_anom,NDVI_6529_MONT-RIGI_anom
2021-01-01,0.3426741410632144,0.27409957106749666,0.2848857554195357,0.25698025685230197,0.35283705282944405,0.34945647361655907,0.22651441113896523,0.247613406088226,0.2845071308550237,0.35510284605039544,0.3569105693026109,-0.004842375932934795,-0.0056361789250586325,-0.005725772200580348,-0.005800883268449131,-0.00500494572346033,-0.005054823279991905,-0.006251470860297786,-0.005819825912085769,-0.005504388610690358,-0.005332461950861289,-0.005251853591532962
2021-01-02,0.3432206707745906,0.27474862925175636,0.2855455468464356,0.2576521875914687,0.3534026053572293,0.3500277282700161,0.22724468096286227,0.24828867377913186,0.2851379943535857,0.3557105949036519,0.3575076937432666,-0.004723603347492,-0.005477547258810667,-0.005563963671853411,-0.005631460984126091,-0.00488112255033013,-0.004929662069590279,-0.006059201567416461,-0.0056480493119626385,-0.005354222425652588,-0.005192360379562999,-0.0051161352081306455
2021-01-03,0.34380129808791665,0.2754343922088449,0.28624253066377303,0.2583609953937302,0.35400324471457223,0.35063440419502817,0.22801327532730598,0.2490006755015504,0.2858054000775198,0.3563545307270617,0.35814078949588085,-0.004581318637640885,-0.005293543194096528,-0.005376443504592487,-0.005436526807430397,-0.0047331018689754645,-0.004780072383878231,-0.005840386117979324,-0.0054508536556737985,-0.005178811965861951,-0.005027277423488019,-0.004955591522140257
2021-01-04,0.34441585118622886,0.2761566570104709,0.2869765006228225,0.2591064705114542,0.35463879316262303,0.3512763218664287,0.2288199667928584,0.24974920056271674,0.2865091505307351,0.35703446296965496,0.3588096692172348,-0.004415623523923495,-0.0050842898047849805,-0.005163336879413005,-0.00521620882110424,-0.004560989058876697,-0.004606160676387916,-0.0055951647664301,-0.005228367857487287,-0.004978276335999343,-0.004837327233967514,-0.0047703344395153
2021-01-05,0.3450641482133785,0.2769152099268588,0.28774723953006526,0.2598883923465596,0.3553090626323714,0.3519532913304513,0.22966451664653662,0.25053402746202286,0.2872490374621501,0.35775019042854156,0.359514134975058,-0.0042266279213492575,-0.004849918993818536,-0.004924777923574375,-0.004970643981029921,-0.004364897932134737,-0.004408041913693095,-0.0053236869928668384,-0.004980729671181905,-0.004752743428691197,-0.004622632662596382,-0.00456048451369534
2021-01-06,0.3457459973278449,0.277709826489997,0.2885545193114584,0.26070652951579576,0.3560138547802975,0.35266511226094016,0.23054667497245127,0.2513549239565624,0.2880248419273179,0.3585015013084516,0.36025397830659867,-0.004014449900234585,-0.004590571446600966,-0.00466090966359739,-0.004699978067945865,-0.004144950692943572,-0.00418583953447027,-0.005026111450518761,-0.0047080856415160355,-0.004502349879228762,-0.004383325217637624,-0.00432617090278592
2021-01-07,0.3464611967595054,0.2785402715600603,0.2893981010799265,0.2615606399192114,0.3567529610470657,0.3534115740186298,0.23146618072576114,0.25221164712985594,0.2888363343532161,0.3592881732844086,0.36102898028031244,-0.0037792156444703684,-0.004306396581620575,-0.0043718839750745975,-0.004404365636383745,-0.0039012778944145787,-0.003939685405889737,-0.004702605910333613,-0.004410591052925017,-0.004227241017532302,-0.004119545017699344,-0.004067531324023932
2021-01-08,0.3472095348693414,0.2794062993949919,0.29027773520605277,0.2624504708117972,0.35752616271924054,0.35419245571347685,0.23242276180992058,0.2531039434637329,0.2896832746061801,0.3601099735675182,0.36183891156064624,-0.00352105940723324,-0.003997552498320567,-0.004057861529692897,-0.004083969960839873,-0.0036340183927706105,-0.0036697197773494783,-0.004353347202693092,-0.004088409875467602,-0.003927570817376658,-0.0038314407426995323,-0.0037847120055487515
2021-01-09,0.347990790212067,0.2803076537232224,0.29119316139194695,0.26337575887827563,0.3583332309940077,0.3550075262700243,0.2334161351571967,0.25403154891335256,0.29056541206296305,0.3609666589738552,0.3626835324759038,-0.003240123464152922,-0.003664205922235264,-0.0037190117394877986,-0.00373896297920151,-0.0033433192989223426,-0.003376091231568401,-0.003978521156276005,-0.003741714708034194,-0.003603501842892376,-0.0035191695821312208,-0.003477867635487908
2021-01-10,0.34880473160165687,0.2812440678195047,0.29214410874827323,0.2643362303110217,0.3591739270468804,0.3558565444957815,0.2344460068124342,0.2549941889853385,0.29148248568489926,0.36185797599642533,0.36356259308916794,-0.0029365580639527655,-0.003306532147408392,-0.003355512698340668,-0.0033695252334428605,-0.003029335927444643,-0.0030589566330518903,-0.0035783225340863534,-0.003370686718839666,-0.0032552051923609437,-0.003182897180647404,-0.003147161308379942
